,FIPS,MHI_2018,giniIndex
1013,21039,39664,0.4914
1014,21041,43258,0.4793
1015,21043,33067,0.4846
1016,21045,34457,0.4523
1017,21047,41235,0.4557
1018,21049,52938,0.4439
1019,21051,26250,0.4947
1020,21053,31115,0.5176
1021,21055,43169,0.4595
1022,21057,32906,0.4672
1023,21059,49836,0.465
1024,21061,41360,0.4268
1025,21063,33377,0.4495
1026,21065,31337,0.4767
1027,21067,54918,0.4947
1028,21069,42213,0.4652
1029,21071,31267,0.5007
1030,21073,55068,0.3896
1031,21075,28559,0.4807
1032,21077,50204,0.3958
1033,21079,49888,0.4325
1034,21081,45610,0.4178
1035,21083,41615,0.4691
1036,21085,37906,0.447
1037,21087,37374,0.5065
1038,21089,49343,0.4585
1039,21091,52019,0.3713
1040,21093,53168,0.4393
1041,21095,26324,0.4803
1042,21097,49696,0.4305
1043,21099,37795,0.4621
1044,21101,45389,0.462
1045,21103,51447,0.4308
1046,21105,40463,0.4824
1047,21107,45738,0.4491
1048,21109,32143,0.4579
1049,21111,54357,0.477
1050,21113,56728,0.4942
1051,21115,37559,0.4966
1052,21117,61606,0.4485
1053,21119,29326,0.4677
1054,21121,28790,0.5115
1055,21123,41779,0.4218
1056,21125,39230,0.469
1057,21127,31813,0.501
1058,21129,23972,0.5154
1059,21131,30798,0.4809
1060,21133,29856,0.4967
1061,21135,31096,0.5111
1062,21137,39833,0.4369
1063,21139,46076,0.4905
1064,21141,43842,0.444
1065,21143,50097,0.4459
1066,21145,44486,0.531
1067,21147,23273,0.5039
1068,21149,50445,0.4201
1069,21151,48687,0.4587
